               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.138,           0.0055461,            0.023848,           0.0020451,             0.43322,            0.006254,           0.0017899,             0.12965,           0.0023864,            0.020222,              0.0829,              0.0019,              0.0019
                   1,             0.12162,           0.0085361,             0.01329,            0.043696,            0.036018,             0.01287,           0.0036924,             0.11988,           0.0029588,            0.010887,            0.064874,           0.0038743,           0.0038743
                   2,             0.11413,           0.0085476,           0.0098782,             0.65217,             0.11372,            0.081246,            0.026345,             0.11429,           0.0035392,           0.0096936,            0.046822,           0.0058221,           0.0058221
                   3,             0.10406,           0.0083911,           0.0091963,             0.65655,             0.13476,            0.081939,            0.027078,             0.10714,           0.0042879,           0.0088082,            0.028744,           0.0077436,           0.0077436
                   4,            0.097382,           0.0083737,            0.007398,            0.086102,             0.14589,            0.044989,            0.014684,             0.10342,            0.004458,           0.0086873,            0.010639,           0.0096386,           0.0096386
                   5,            0.094167,           0.0083993,           0.0087407,             0.14101,             0.18474,            0.081314,            0.027271,            0.099471,           0.0041517,           0.0071437,             0.00967,             0.00967,             0.00967
                   6,            0.090888,           0.0083984,           0.0079849,             0.74691,             0.18393,             0.15097,             0.06052,            0.092367,            0.004202,           0.0069183,             0.00967,             0.00967,             0.00967
                   7,            0.089549,            0.008348,           0.0067341,               0.529,             0.18211,            0.015661,           0.0060867,             0.10455,           0.0087367,            0.029588,            0.009604,            0.009604,            0.009604
                   8,            0.086803,           0.0083978,           0.0066962,             0.74259,             0.19425,             0.17307,            0.068493,            0.087269,            0.004038,            0.008375,            0.009538,            0.009538,            0.009538
                   9,              0.0854,           0.0082899,           0.0074839,             0.46099,             0.24731,              0.2254,             0.10214,              0.0883,           0.0033232,           0.0075341,            0.009472,            0.009472,            0.009472
                  10,            0.084858,           0.0082951,           0.0070864,             0.25549,             0.17822,             0.17081,            0.076307,              0.0892,           0.0030845,            0.012876,            0.009406,            0.009406,            0.009406
                  11,            0.083068,           0.0084271,           0.0069847,             0.81845,             0.17178,             0.23064,              0.1153,            0.084871,           0.0036738,           0.0056971,             0.00934,             0.00934,             0.00934
                  12,            0.081338,           0.0084649,           0.0061883,             0.86328,              0.1941,             0.25932,             0.12413,            0.081921,           0.0038391,           0.0061159,            0.009274,            0.009274,            0.009274
                  13,            0.081574,           0.0082665,           0.0068723,              0.2665,             0.34452,             0.28319,             0.13992,            0.079331,           0.0034708,           0.0053926,            0.009208,            0.009208,            0.009208
                  14,            0.081311,           0.0082359,           0.0059236,             0.39553,             0.22897,             0.20922,            0.088985,            0.096209,             0.00282,             0.02142,            0.009142,            0.009142,            0.009142
                  15,            0.078972,           0.0081486,           0.0058197,             0.43475,             0.29266,             0.27465,             0.12907,            0.080017,           0.0039307,           0.0056363,            0.009076,            0.009076,            0.009076
                  16,            0.079842,           0.0082631,           0.0058086,            0.038145,            0.099555,            0.015456,           0.0073296,             0.11063,           0.0045963,            0.018396,             0.00901,             0.00901,             0.00901
                  17,            0.079433,           0.0083837,           0.0063182,              0.4162,             0.33481,             0.31687,             0.16186,            0.077963,           0.0034553,           0.0049197,            0.008944,            0.008944,            0.008944
                  18,            0.078338,           0.0082821,           0.0055029,             0.49623,             0.32521,             0.31137,             0.14707,             0.07702,           0.0032911,           0.0054895,            0.008878,            0.008878,            0.008878
                  19,            0.078426,           0.0084424,            0.006284,             0.40397,             0.33703,             0.31722,             0.13669,            0.078606,           0.0029279,           0.0065076,            0.008812,            0.008812,            0.008812
                  20,            0.077927,            0.008178,           0.0058548,             0.33416,             0.18487,             0.15745,            0.049404,            0.094886,           0.0031072,            0.015164,            0.008746,            0.008746,            0.008746
                  21,            0.077954,           0.0083749,           0.0058776,             0.81487,              0.2006,             0.25252,             0.13266,            0.081863,            0.003454,           0.0063121,             0.00868,             0.00868,             0.00868
                  22,            0.076682,           0.0081934,           0.0055835,             0.43177,              0.3299,             0.31298,             0.15396,            0.078979,           0.0033415,           0.0047661,            0.008614,            0.008614,            0.008614
                  23,            0.076907,           0.0081571,           0.0053699,             0.50692,             0.32458,             0.33497,             0.16846,            0.076686,           0.0030835,           0.0044624,            0.008548,            0.008548,            0.008548
                  24,            0.077165,           0.0082594,           0.0055278,             0.48087,              0.2925,             0.29485,             0.14167,            0.077955,           0.0030266,           0.0051034,            0.008482,            0.008482,            0.008482
                  25,            0.077738,           0.0083164,           0.0056291,             0.56769,             0.34644,             0.35459,             0.16133,            0.076836,           0.0030794,           0.0055279,            0.008416,            0.008416,            0.008416
                  26,            0.076919,           0.0082714,           0.0051396,              0.5447,             0.33695,             0.35432,             0.17507,            0.075379,           0.0030661,           0.0061544,             0.00835,             0.00835,             0.00835
                  27,            0.076055,           0.0083369,           0.0056851,             0.49588,              0.3733,             0.35871,              0.1529,            0.075937,           0.0034097,           0.0046301,            0.008284,            0.008284,            0.008284
                  28,             0.07529,           0.0082024,           0.0050852,             0.52352,             0.41685,             0.40016,             0.18375,            0.074094,           0.0031038,           0.0043275,            0.008218,            0.008218,            0.008218
                  29,            0.075328,           0.0082515,           0.0052793,             0.51993,             0.35776,             0.35805,             0.16046,            0.074185,           0.0030135,           0.0050788,            0.008152,            0.008152,            0.008152
                  30,            0.074156,           0.0082863,           0.0052433,             0.57811,             0.36225,             0.38118,             0.18261,            0.072924,           0.0030093,            0.003983,            0.008086,            0.008086,            0.008086
                  31,            0.074098,           0.0080202,           0.0057423,             0.53647,              0.3507,             0.37251,             0.16474,            0.074697,           0.0030334,           0.0046875,             0.00802,             0.00802,             0.00802
                  32,             0.07426,           0.0081386,           0.0050392,             0.49704,             0.36536,              0.3671,               0.168,            0.074078,           0.0030129,           0.0058446,            0.007954,            0.007954,            0.007954
                  33,            0.073779,           0.0082868,           0.0051158,             0.53685,             0.32566,             0.34854,             0.15924,            0.075584,           0.0029956,           0.0077496,            0.007888,            0.007888,            0.007888
                  34,            0.072609,            0.007998,            0.005212,             0.63187,             0.35653,             0.39557,              0.1925,            0.072212,           0.0028831,           0.0040047,            0.007822,            0.007822,            0.007822
                  35,            0.073488,           0.0080969,           0.0051123,             0.59708,             0.33528,             0.36118,             0.16757,            0.073358,           0.0029471,           0.0041905,            0.007756,            0.007756,            0.007756
                  36,            0.073771,           0.0082945,           0.0051757,             0.55953,             0.41171,             0.40238,             0.18237,            0.073288,           0.0029556,           0.0065529,             0.00769,             0.00769,             0.00769
                  37,             0.07353,           0.0081784,           0.0047342,             0.51773,             0.36468,              0.3709,             0.16519,            0.073141,           0.0029619,             0.00547,            0.007624,            0.007624,            0.007624
                  38,            0.074063,           0.0082386,            0.005017,             0.52699,             0.37985,             0.36858,             0.15835,            0.074744,           0.0029521,           0.0053303,            0.007558,            0.007558,            0.007558
                  39,            0.073455,           0.0081617,           0.0048506,             0.53391,             0.41192,             0.41417,             0.20064,            0.070401,           0.0031238,           0.0036927,            0.007492,            0.007492,            0.007492
                  40,            0.072598,           0.0081577,           0.0049044,             0.57902,             0.42152,             0.44851,             0.19407,            0.070989,           0.0029938,             0.00518,            0.007426,            0.007426,            0.007426
                  41,            0.072918,           0.0082937,           0.0046606,             0.48299,             0.33979,             0.34788,             0.13888,             0.07701,            0.003194,           0.0049904,             0.00736,             0.00736,             0.00736
                  42,            0.073654,           0.0082228,           0.0052368,             0.51844,             0.37242,              0.3745,              0.1652,            0.074029,            0.002961,           0.0044064,            0.007294,            0.007294,            0.007294
                  43,            0.072555,           0.0083442,           0.0048695,             0.50418,             0.39556,              0.3703,             0.14431,            0.078845,           0.0030234,           0.0081872,            0.007228,            0.007228,            0.007228
                  44,            0.073531,           0.0081286,           0.0049207,             0.44075,             0.37232,             0.34831,             0.15132,            0.071882,           0.0030589,            0.004056,            0.007162,            0.007162,            0.007162
                  45,              0.0723,           0.0081418,             0.00488,             0.57057,             0.41125,             0.41779,             0.17953,            0.071271,           0.0030698,           0.0031533,            0.007096,            0.007096,            0.007096
                  46,            0.072469,           0.0081556,           0.0047096,             0.49442,             0.37559,             0.36265,             0.16448,            0.073553,           0.0030529,           0.0043775,             0.00703,             0.00703,             0.00703
                  47,            0.071196,           0.0078147,           0.0048559,             0.63635,             0.39393,             0.43036,             0.21412,            0.070533,           0.0028796,           0.0053969,            0.006964,            0.006964,            0.006964
                  48,            0.072367,           0.0083103,           0.0045922,             0.63601,             0.37576,             0.40693,             0.17814,            0.071256,           0.0029803,           0.0044043,            0.006898,            0.006898,            0.006898
                  49,             0.07189,           0.0081191,           0.0048893,             0.57514,             0.39845,             0.41226,             0.18778,            0.070338,            0.003174,            0.004087,            0.006832,            0.006832,            0.006832
                  50,            0.071728,           0.0082832,           0.0048012,               0.661,             0.37822,             0.43034,             0.19357,            0.071001,           0.0028845,           0.0037496,            0.006766,            0.006766,            0.006766
                  51,            0.069982,           0.0079748,           0.0044112,             0.62898,             0.38485,             0.43176,             0.21188,            0.072286,           0.0031508,           0.0047729,              0.0067,              0.0067,              0.0067
                  52,             0.06979,           0.0080015,           0.0042972,             0.66683,             0.38719,             0.43829,             0.19999,             0.07211,           0.0029623,           0.0047491,            0.006634,            0.006634,            0.006634
                  53,            0.071522,           0.0079945,           0.0045557,             0.64169,             0.41112,             0.44471,             0.19098,            0.070489,           0.0031111,           0.0033374,            0.006568,            0.006568,            0.006568
                  54,            0.070208,           0.0081635,           0.0044364,              0.6219,             0.42567,             0.46333,             0.21924,            0.070892,           0.0030396,           0.0073878,            0.006502,            0.006502,            0.006502
                  55,            0.070809,           0.0081116,           0.0049994,             0.63156,             0.42364,             0.45145,             0.20177,            0.069144,           0.0030039,            0.003929,            0.006436,            0.006436,            0.006436
                  56,            0.069645,           0.0081636,           0.0047117,             0.64089,             0.40245,             0.44187,             0.19315,            0.072324,           0.0031121,           0.0063952,             0.00637,             0.00637,             0.00637
                  57,            0.069614,           0.0080208,           0.0037985,             0.65707,             0.42872,             0.46688,             0.19262,            0.069568,           0.0031363,           0.0031963,            0.006304,            0.006304,            0.006304
                  58,            0.069104,           0.0079906,           0.0045241,             0.64865,              0.4678,             0.48727,             0.23154,             0.06749,           0.0028502,           0.0041748,            0.006238,            0.006238,            0.006238
                  59,            0.070826,            0.008009,           0.0049597,             0.66056,             0.43378,             0.46782,             0.23372,            0.068681,            0.003128,           0.0036797,            0.006172,            0.006172,            0.006172
                  60,            0.069378,           0.0077796,           0.0046826,             0.59907,             0.39443,             0.41189,              0.1861,            0.070175,           0.0030759,           0.0043455,            0.006106,            0.006106,            0.006106
                  61,            0.068461,           0.0080345,           0.0044706,             0.63968,             0.40767,              0.4675,             0.21398,            0.069507,           0.0028541,           0.0067471,             0.00604,             0.00604,             0.00604
                  62,            0.069412,           0.0079642,           0.0042061,             0.69107,              0.4082,             0.46876,             0.20526,            0.068255,           0.0029183,           0.0031088,            0.005974,            0.005974,            0.005974
                  63,            0.068994,           0.0080814,           0.0042806,             0.69013,             0.46297,             0.49416,             0.23956,            0.066807,           0.0030753,            0.003269,            0.005908,            0.005908,            0.005908
                  64,             0.06871,           0.0079924,           0.0045221,             0.61963,             0.40992,             0.44791,              0.2157,            0.071153,           0.0030025,           0.0064968,            0.005842,            0.005842,            0.005842
                  65,            0.069407,           0.0080731,           0.0044035,             0.75762,             0.45546,             0.50329,             0.23938,            0.067997,           0.0029442,           0.0028538,            0.005776,            0.005776,            0.005776
                  66,            0.068604,           0.0078785,           0.0043738,             0.65644,             0.46244,             0.49085,             0.21996,            0.067234,           0.0030125,           0.0027535,             0.00571,             0.00571,             0.00571
                  67,            0.069243,           0.0081837,           0.0040319,             0.64121,             0.40482,             0.47124,             0.22321,            0.067312,           0.0029413,           0.0030284,            0.005644,            0.005644,            0.005644
                  68,            0.069396,           0.0079498,           0.0041785,              0.6953,             0.46537,             0.49517,             0.22617,            0.068026,           0.0031356,           0.0030835,            0.005578,            0.005578,            0.005578
